"vehicleType","vehicleCarFrame","vehicleCarBrand","vehicleModel","vehicleDischarge","vehicleImported","vehicleRegistration","vehicleCarPlate","companyId","companyName","status","order"
"V","W0L0TGF7532270106","OPEL","ZAFIRA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCE7584077443","OPEL","MERIVA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCF0643038473","OPEL","COMBO","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCF0846001984","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCF6824239666","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
"V","W0LF7AHA68Y726964","OPEL","VIVARO","0%","","","",1,"Cristallo srls","published",""
"C","W0LF7D605HV626791","OPEL","VIVARO","0%","","","",1,"Cristallo srls","published",""
"V","W0LJD7EC1HB104225","OPEL","MOKKA","0%","","","",1,"Cristallo srls","published",""
"V","W0V7H9EJ8K4405747","OPEL","CROSSLAND X","0%","","","",1,"Cristallo srls","published",""
"V","W1K1770541N164793","MERCEDES","CLASSE A","0%","","","",1,"Cristallo srls","published",""
"V","W1K1770871N193217","MERCEDES","CLASSE A","0%","","","",1,"Cristallo srls","published",""
"V","W1N2476151W099851","MERCEDES","GLB","0%","","","",1,"Cristallo srls","published",""
"V","W1V44781313799137","AIXAM","GT","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ4E55N003104","AUDI","A8","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ4M0KD029117","AUDI","Q7","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ8E03A037031","AUDI","A4","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ8K3DA189585","AUDI","A4","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ8K89A145136","AUDI","A4","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ8P94A038407","AUDI","A3","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ8V2EA064539","AUDI","A3","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZ8X7FB032490","AUDI","A1","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZF23LN071384","AUDI","A6","0%","","","",1,"Cristallo srls","published",""
"V","WAUZZZF32M1005880","AUDI","Q3","0%","","","",1,"Cristallo srls","published",""
"V","WBA1B91010J890212","BMW","SERIE 1","0%","","","",1,"Cristallo srls","published",""
"V","WBA4F11090D939044","BMW","SERIE 4","0%","","","",1,"Cristallo srls","published",""
"V","WBA4H510X0BM71435","BMW","SERIE 4","0%","","","",1,"Cristallo srls","published",""
"V","WBACV01050LK56286","BMW","X5","0%","","","",1,"Cristallo srls","published",""
"V","WBAPE11060WJ78025","BMW","X3","0%","","","",1,"Cristallo srls","published",""
"V","WBAUJ31020LG11404","BMW","X4","0%","","","",1,"Cristallo srls","published",""
"V","WBAVN11090VP82519","BMW","X1","0%","","","",1,"Cristallo srls","published",""
"A","WBU4301TNB2031788","AIXAM","GT","0%","","","",1,"Cristallo srls","published",""
"V","WDB2093161F086857","MERCEDES","CLK","0%","","","",1,"Cristallo srls","published",""
"V","WDC1660041A143124","MERCEDES","CLASSE ML","0%","","","",1,"Cristallo srls","published",""
"V","WDC2049841F544708","MERCEDES","GLK","0%","","","",1,"Cristallo srls","published",""
"V","WDC2539051F539917","MERCEDES","GLC","0%","","","",1,"Cristallo srls","published",""
"V","WDD1690071J931022","MERCEDES","CLASSE A","0%","","","",1,"Cristallo srls","published",""
